"lga_id","pop_2006","lga","state","zone","area_sq_km","surveying_effort","pop_density_2006","unique_lga","longitude","latitude"
1,100180,"Abadam","Borno","Northeast",3967.05423,"Others",25.2529948399521,"borno_abadam",13.325674072086,13.4282932326694
2,58444,"Abaji","FCT","North-Central",992.3612415,"113",58.8938760966311,"fct_abaji",6.85341374949335,8.87756561235588
3,139090,"Abak","Akwa Ibom","South-South",189.9845631,"Others",732.112113376226,"akwa_ibom_abak",7.7722791992121,5.01988684473737
4,151723,"Abakaliki","Ebonyi","Southeast",584.0551672,"Others",259.775118037856,"ebonyi_abakaliki",8.21988187366162,6.25868109930969
5,107488,"Aba North","Abia","Southeast",22.77506109,"Others",4719.5482626914,"abia_aba_north",7.37164362013536,5.10690036805349
6,423852,"Aba South","Abia","Southeast",49.16654183,"Others",8620.74053256635,"abia_aba_south",7.35065008552622,5.08134568759407
7,201329,"Abeokuta North","Ogun","Southwest",808.8314933,"Others",248.913403678912,"ogun_abeokuta_north",3.17358770355723,7.22300485572521
8,250278,"Abeokuta South","Ogun","Southwest",71.47153479,"Others",3501.7857212018,"ogun_abeokuta_south",3.35694357771984,7.15311807055368
9,144802,"Abi","Cross River","South-South",281.7728248,"Others",513.896257038908,"cross_river_abi",8.02668909772608,5.89308847083773
10,195652,"Aboh Mbaise","Imo","Southeast",184.4838696,"Others",1060.5371647083,"imo_aboh_mbaise",7.25224758445934,5.43261623432536
11,282988,"Abua Odual","Rivers","South-South",704.3381151,"Others",401.778625823511,"rivers_abua_odual",6.56209630804409,4.83853956425204
12,202194,"Adavi","Kogi","North-Central",718.5035981,"Others",281.409864243796,"kogi_adavi",6.4445904340363,7.67423257342895
13,308621,"Ado-Ekiti","Ekiti","Southwest",293.6513001,"Others",1050.97780903712,"ekiti_ado_ekiti",5.27997456857015,7.61042627093975
14,526565,"Ado-Odo/Ota","Ogun","Southwest",878.9164562,"148",599.106998492902,"ogun_ado_odo_ota",3.0846251406626,6.61884102348243
15,134173,"Afijio","Oyo","Southwest",722.6936659,"Others",185.656809144589,"oyo_afijio",3.90125509443426,7.7421182647943
16,156611,"Afikpo North","Ebonyi","Southeast",240.1574665,"Others",652.117971939049,"ebonyi_afikpo_north",7.92339649751923,5.87842850822469
17,157072,"Afikpo South","Ebonyi","Southeast",377.6751961,"113",415.891754666385,"ebonyi_afikpo_south",7.81363733967737,5.83719147214255
18,132907,"Agaie","Niger","North-Central",1904.354705,"Others",69.7910949315506,"niger_agaie",6.44045920996512,8.9462353521898
19,115523,"Agatu","Benue","North-Central",1014.608427,"Others",113.859689044353,"benue_agatu",7.88215837480545,7.86983845205808
20,57413,"Agwara","Niger","North-Central",1539.668996,"148",37.2891836811397,"niger_agwara",4.52764087244373,10.7410217674436
21,459939,"Agege","Lagos","Southwest",11.21455704,"Others",41012.6765024684,"lagos_agege",3.31600267249861,6.62357986433353
22,370172,"Aguata","Anambra","Southeast",195.1025738,"Others",1897.31992146584,"anambra_aguata",7.08804330219091,5.98862093750357
23,170902,"Ahiazu-Mbaise","Imo","Southeast",113.7162833,"Others",1502.8806345098,"imo_ahiazu_mbaise",7.26418199347383,5.56020000654398
24,166747,"Ahoada East","Rivers","South-South",341.173834,"Others",488.744983884081,"rivers_ahoada_east",6.64101979571869,5.06535918868056
25,249425,"Ahoada West","Rivers","South-South",403.4593903,"Others",618.215874996825,"rivers_ahoada_west",6.51660568502445,5.05176307681746
26,122321,"Ajaokuta","Kogi","North-Central",1362.399481,"113",89.7835045490597,"kogi_ajaokuta",6.59639020160477,7.51474121433553
27,684105,"Ajeromi-Ifelodun","Lagos","Southwest",12.34939094,"148",55395.8493438058,"lagos_ajeromi_ifelodun",3.33748150163207,6.4535619255659
